0.000, 0.010, -0.000, 0.010, -2.274, 0.096, 0.000, 0.000, 0.073, 0.455, 0.010, -0.001, 0.096, 0.000, 0.000, 0.073, 0.545, -0.006
0.010, 0.020, -0.000, 0.020, -1.874, 0.096, 0.000, 0.000, 0.059, 0.293, 0.020, -0.045, 0.096, 0.000, 0.000, 0.059, 0.707, -0.226
0.020, 0.030, 0.000, 0.030, -1.575, 0.096, 0.000, 0.000, 0.049, 0.255, 0.030, -0.046, 0.096, 0.000, 0.000, 0.049, 0.745, -0.047
0.030, 0.040, 0.000, 0.040, -1.402, 0.096, 0.000, 0.000, 0.042, 0.233, 0.040, -0.088, 0.096, 0.000, 0.000, 0.042, 0.767, -0.348
0.040, 0.050, 0.000, 0.050, -1.156, 0.096, 0.000, 0.000, 0.037, 0.185, 0.050, -0.004, 0.096, 0.000, 0.000, 0.037, 0.815, 0.591
0.050, 0.060, 0.000, 0.060, -1.245, 0.096, 0.000, 0.000, 0.033, 0.225, 0.060, -0.223, 0.096, 0.000, 0.000, 0.033, 0.775, -1.990
0.060, 0.070, 0.000, 0.071, -1.143, 0.096, 0.000, 0.000, 0.030, 0.216, 0.070, -0.223, 0.096, 0.000, 0.000, 0.030, 0.784, -0.225
0.070, 0.080, 0.000, 0.082, -1.009, 0.096, 0.000, 0.000, 0.027, 0.201, 0.080, -0.174, 0.097, 0.000, 0.000, 0.028, 0.799, 0.331
0.080, 0.090, 0.000, 0.092, -0.931, 0.096, 0.000, 0.000, 0.025, 0.196, 0.090, -0.167, 0.097, 0.001, 0.001, 0.026, 0.804, -0.083
0.090, 0.100, 0.000, 0.103, -0.887, 0.096, 0.000, 0.000, 0.023, 0.194, 0.100, -0.184, 0.097, 0.001, 0.001, 0.024, 0.806, -0.377
0.100, 0.110, 0.000, 0.113, -0.800, 0.096, 0.000, 0.000, 0.022, 0.188, 0.111, -0.147, 0.098, 0.001, 0.001, 0.023, 0.812, 0.312
0.110, 0.120, 0.001, 0.124, -0.732, 0.096, 0.000, 0.000, 0.020, 0.184, 0.122, -0.124, 0.098, 0.002, 0.002, 0.022, 0.816, 0.182
0.120, 0.130, 0.001, 0.134, -0.664, 0.096, 0.000, 0.000, 0.019, 0.180, 0.135, -0.094, 0.099, 0.003, 0.003, 0.021, 0.820, 0.303
0.130, 0.140, 0.001, 0.145, -0.613, 0.096, 0.000, 0.000, 0.018, 0.178, 0.147, -0.076, 0.100, 0.003, 0.003, 0.021, 0.822, 0.161
0.140, 0.150, 0.001, 0.155, -0.608, 0.096, 0.000, 0.000, 0.017, 0.177, 0.152, -0.109, 0.101, 0.004, 0.004, 0.021, 0.823, -0.573
0.150, 0.160, 0.001, 0.165, -0.584, 0.096, 0.000, 0.000, 0.016, 0.176, 0.161, -0.115, 0.102, 0.005, 0.005, 0.020, 0.824, -0.204
0.160, 0.170, 0.001, 0.175, -0.552, 0.096, 0.000, 0.000, 0.016, 0.175, 0.172, -0.108, 0.103, 0.006, 0.006, 0.020, 0.825, -0.006
0.170, 0.180, 0.001, 0.185, -0.507, 0.096, 0.000, 0.000, 0.015, 0.174, 0.189, -0.081, 0.104, 0.007, 0.007, 0.021, 0.826, 0.292
0.180, 0.191, 0.001, 0.195, -0.492, 0.096, 0.000, 0.000, 0.015, 0.172, 0.196, -0.092, 0.105, 0.008, 0.008, 0.021, 0.828, -0.252
0.190, 0.201, 0.002, 0.206, -0.443, 0.096, 0.000, 0.000, 0.014, 0.171, 0.220, -0.053, 0.107, 0.009, 0.009, 0.022, 0.829, 0.480
0.200, 0.211, 0.002, 0.216, -0.425, 0.096, 0.000, 0.000, 0.014, 0.170, 0.228, -0.056, 0.108, 0.010, 0.010, 0.022, 0.830, -0.116
0.210, 0.221, 0.002, 0.226, -0.379, 0.096, 0.000, 0.000, 0.013, 0.170, 0.257, -0.011, 0.110, 0.012, 0.012, 0.023, 0.830, 0.563
0.220, 0.231, 0.002, 0.236, -0.364, 0.096, 0.000, 0.000, 0.013, 0.169, 0.263, -0.018, 0.111, 0.013, 0.013, 0.024, 0.831, -0.123
0.230, 0.241, 0.002, 0.246, -0.337, 0.096, 0.000, 0.000, 0.013, 0.168, 0.281, -0.000, 0.113, 0.014, 0.014, 0.025, 0.832, 0.197
0.240, 0.251, 0.002, 0.257, -0.319, 0.096, 0.000, 0.000, 0.012, 0.167, 0.291, 0.002, 0.114, 0.015, 0.015, 0.025, 0.833, 0.007
0.250, 0.261, 0.002, 0.267, -0.306, 0.096, 0.000, 0.000, 0.012, 0.167, 0.296, -0.004, 0.116, 0.016, 0.016, 0.026, 0.833, -0.100
0.260, 0.271, 0.002, 0.276, -0.368, 0.097, 0.000, 0.000, 0.012, 0.184, 0.207, -0.161, 0.117, 0.017, 0.017, 0.026, 0.816, -2.008
0.270, 0.281, 0.002, 0.287, -0.336, 0.097, 0.000, 0.000, 0.012, 0.186, 0.245, -0.119, 0.116, 0.016, 0.016, 0.024, 0.814, 0.361
0.280, 0.291, 0.002, 0.297, -0.314, 0.097, 0.000, 0.000, 0.012, 0.185, 0.268, -0.097, 0.119, 0.018, 0.018, 0.027, 0.815, 0.155
0.290, 0.301, 0.002, 0.308, -0.303, 0.097, 0.000, 0.000, 0.011, 0.184, 0.276, -0.099, 0.121, 0.021, 0.021, 0.029, 0.816, -0.138
0.300, 0.311, 0.002, 0.318, -0.282, 0.097, 0.000, 0.000, 0.011, 0.184, 0.302, -0.075, 0.124, 0.023, 0.023, 0.031, 0.816, 0.158
